Sent	amod	noun	amod_idx	head_idx	position
le secrétaire général de les nations unies , ban ki-moon , a soulevé d' une manière claire et objective , dans son rapport publié vendredi et qui sera examiné mardi prochain par le conseil de sécurité , l' urgence de faire face à la situation relative à les violations de les droits de l' homme à le sahara occidental .	unies	nations	7	6	after
le secrétaire général de les nations unies , ban ki-moon , a soulevé d' une manière claire et objective , dans son rapport publié vendredi et qui sera examiné mardi prochain par le conseil de sécurité , l' urgence de faire face à la situation relative à les violations de les droits de l' homme à le sahara occidental .	claire	manière	17	16	after
le secrétaire général de les nations unies , ban ki-moon , a soulevé d' une manière claire et objective , dans son rapport publié vendredi et qui sera examiné mardi prochain par le conseil de sécurité , l' urgence de faire face à la situation relative à les violations de les droits de l' homme à le sahara occidental .	prochain	mardi	31	30	after
le secrétaire général de les nations unies , ban ki-moon , a soulevé d' une manière claire et objective , dans son rapport publié vendredi et qui sera examiné mardi prochain par le conseil de sécurité , l' urgence de faire face à la situation relative à les violations de les droits de l' homme à le sahara occidental .	relative	situation	46	45	after
en géométrie , le dodécadodécaèdre tronqué est un polyèdre uniforme non-convexe , indexé sous le nom u59 .	uniforme	polyèdre	10	9	after
en géométrie , le dodécadodécaèdre tronqué est un polyèdre uniforme non-convexe , indexé sous le nom u59 .	non-convexe	polyèdre	11	9	after
tout en regrettant que le conseil de sécurité " n' assume toujours pas ses responsabilités face à la tragédie syrienne " , avec notamment le refus de la russie et de la chine de voter des sanctions contre damas , il a exclu toute initiative française en dehors de le cadre légal de les nations unies .	syrienne	tragédie	20	19	after
tout en regrettant que le conseil de sécurité " n' assume toujours pas ses responsabilités face à la tragédie syrienne " , avec notamment le refus de la russie et de la chine de voter des sanctions contre damas , il a exclu toute initiative française en dehors de le cadre légal de les nations unies .	française	initiative	46	45	after
tout en regrettant que le conseil de sécurité " n' assume toujours pas ses responsabilités face à la tragédie syrienne " , avec notamment le refus de la russie et de la chine de voter des sanctions contre damas , il a exclu toute initiative française en dehors de le cadre légal de les nations unies .	légal	cadre	52	51	after
tout en regrettant que le conseil de sécurité " n' assume toujours pas ses responsabilités face à la tragédie syrienne " , avec notamment le refus de la russie et de la chine de voter des sanctions contre damas , il a exclu toute initiative française en dehors de le cadre légal de les nations unies .	unies	nations	56	55	after
il crée alors la vis aérienne ( ou hélice ou aile tournante hélicoïde ... ) avec une simple vis passée à le milieu de deux plaques de bois en s' inspirant de le principe de la vis d' archimède , utilisée dès l' antiquité pour monter de l' eau .	aérienne	vis	6	5	after
il crée alors la vis aérienne ( ou hélice ou aile tournante hélicoïde ... ) avec une simple vis passée à le milieu de deux plaques de bois en s' inspirant de le principe de la vis d' archimède , utilisée dès l' antiquité pour monter de l' eau .	tournante	aile	12	11	after
il crée alors la vis aérienne ( ou hélice ou aile tournante hélicoïde ... ) avec une simple vis passée à le milieu de deux plaques de bois en s' inspirant de le principe de la vis d' archimède , utilisée dès l' antiquité pour monter de l' eau .	hélicoïde	aile	13	11	after
à partir de le xxie siècle , les recensements réels de les communes de moins de 10 000 habitants ont lieu tous les cinq ans .	réels	recensements	10	9	after
le titre de le jeu est une référence à le film clash of the titans , et la majorité de les noms de les niveaux comprennent des références cinématographiques .	cinématographiques	références	29	28	after
cependant , n' y a -t-il pas là un contresens complet ?	complet	contresens	11	10	after
pour ce qui est de le printemps arabe , nous avons insisté avec l' ue pour soutenir dans le cadre de la nouvelle politique de voisinage européenne la réalisation d' une intégration économique avec les pays de l' afrique de le nord " .	arabe	printemps	8	7	after
pour ce qui est de le printemps arabe , nous avons insisté avec l' ue pour soutenir dans le cadre de la nouvelle politique de voisinage européenne la réalisation d' une intégration économique avec les pays de l' afrique de le nord " .	européenne	politique	27	24	after
pour ce qui est de le printemps arabe , nous avons insisté avec l' ue pour soutenir dans le cadre de la nouvelle politique de voisinage européenne la réalisation d' une intégration économique avec les pays de l' afrique de le nord " .	économique	intégration	33	32	after
les deux barmans salariés , sans aucun sourire , passent leur temps à rincer la vaisselle sans mettre une quelconque ambiance dans ce bar où la musique domine avec force .	salariés	barmans	4	3	after
selon la tradition religieuse chinoise où la généalogie prime sur l' idéologie pour la détermination de la dénomination , tout abbé qui peut faire remonter sa lignée à un maître chan , quelle que soit la nature de ses pratiques , est en droit de se réclamer de ce courant , où dominent après 846 deux branches : linji ( 临济 ) qui remonte à línjì yìxuán 临济 义 玄 ( ? - 869 ) .	religieuse	tradition	4	3	after
selon la tradition religieuse chinoise où la généalogie prime sur l' idéologie pour la détermination de la dénomination , tout abbé qui peut faire remonter sa lignée à un maître chan , quelle que soit la nature de ses pratiques , est en droit de se réclamer de ce courant , où dominent après 846 deux branches : linji ( 临济 ) qui remonte à línjì yìxuán 临济 义 玄 ( ? - 869 ) .	chinoise	tradition	5	3	after
à le recensement de 1991 , il comptait 55 habitants , tous serbes .	serbes	habitants	13	10	after
la yougoslavie n' a pas entretenu de relations diplomatiques avec des pays comme le portugal jusqu' en 1974 , l' espagne jusqu' en 1975 ou l' afrique de le sud à cause de son régime d' apartheid .	diplomatiques	relations	9	8	after
bien qu' ils cultivent l' art de disparaître derrière les auteurs qu' ils défendent , les éditeurs ont une histoire parfois aussi palpitante que celle de les personnages de roman .	palpitante	histoire	23	20	after
lors de le tour final , le club termina 2 derrière le vfb speldorf et monta en 2 .	final	tour	5	4	after
khaled hadadah , secrétaire général de le parti communiste libanais , s' est dit favorable à un soulèvement arabe de solidarité avec ce réveil de le monde arabe afin de mener un seul et même combat populaire pour la cause sahraouie .	général	secrétaire	5	4	after
khaled hadadah , secrétaire général de le parti communiste libanais , s' est dit favorable à un soulèvement arabe de solidarité avec ce réveil de le monde arabe afin de mener un seul et même combat populaire pour la cause sahraouie .	communiste	parti	9	8	after
khaled hadadah , secrétaire général de le parti communiste libanais , s' est dit favorable à un soulèvement arabe de solidarité avec ce réveil de le monde arabe afin de mener un seul et même combat populaire pour la cause sahraouie .	libanais	parti	10	8	after
khaled hadadah , secrétaire général de le parti communiste libanais , s' est dit favorable à un soulèvement arabe de solidarité avec ce réveil de le monde arabe afin de mener un seul et même combat populaire pour la cause sahraouie .	arabe	soulèvement	19	18	after
khaled hadadah , secrétaire général de le parti communiste libanais , s' est dit favorable à un soulèvement arabe de solidarité avec ce réveil de le monde arabe afin de mener un seul et même combat populaire pour la cause sahraouie .	arabe	monde	28	27	after
khaled hadadah , secrétaire général de le parti communiste libanais , s' est dit favorable à un soulèvement arabe de solidarité avec ce réveil de le monde arabe afin de mener un seul et même combat populaire pour la cause sahraouie .	populaire	combat	37	36	after
khaled hadadah , secrétaire général de le parti communiste libanais , s' est dit favorable à un soulèvement arabe de solidarité avec ce réveil de le monde arabe afin de mener un seul et même combat populaire pour la cause sahraouie .	sahraouie	cause	41	40	after
traditionnellement , la faute délictuelle supposait , au-delà de la violation d' une norme , que le responsable ait eu conscience de la portée de ses actes .	délictuelle	faute	5	4	after
le premier album intitulé a nordic poem regroupait une quinzaine de musiciens de 6 pays différents qui ont enregistré 10 chansons .	différents	pays	16	15	after
le « sciemment » laissant dubitatives plusieurs personnes , c' est ainsi qu' un sénateur démocrate a demandé à ce que karl rove démente officiellement être celui qui a divulgué le rôle de valerie plame .	démocrate	sénateur	16	15	after
ted a été constamment réélu sénateur de le massachusetts à le congrès américain à les élections de 1964 , 1970 , 1976 , 1982 , 1988 , 1994 , 2000 et 2006 ( 69 % de les voix contre 31 % à kenneth chase ) .	américain	congrès	13	12	after
passé professionnel en 1934 , il devient champion de grèce de les poids moyens et mi-lourds en 1937 ;	moyens	poids	14	13	after
en 2004 , la ( hfr ) est créée et reconnue par le secrétariat général hellénique de les sports .	général	secrétariat	15	14	after
en 2004 , la ( hfr ) est créée et reconnue par le secrétariat général hellénique de les sports .	hellénique	secrétariat	16	14	after
par exemple , une de les nombreuses possibilités est la mise en place d' un potager communautaire .	communautaire	potager	17	16	after
pour échapper à les droïdes , jar jar binks conduit les deux jedi dans la cité sous-marine d' otoh gunga .	sous-marine	cité	17	16	after
tout en exprimant sa « profonde préoccupation face à la nette détérioration de la situation à le sahara occidental » , le parlement européen « condamne fermement , les violents incidents qui se sont produits dans le camp de gdeim izik lors de son démantèlement , ainsi que dans la ville d' el ayoun » .	européen	parlement	24	23	after
80'000 personnes , soit 1 % de la population ghanéenne , furent déplacées pour permettre sa mise en service .	ghanéenne	population	10	9	after
blaze bayley a commencé sa carrière de chanteur dans le groupe de heavy metal / hard rock wolfsbane en 1984 , basé dans la ville anglaise de tamworth .	anglaise	ville	26	25	after
mais à l' arrivée de les militaires , qui appartiennent à l' unité de combat en environnement hostile , le personnel de black mesa comprend que le gouvernement de les états-unis tente d' étouffer l' affaire en éliminant d' une part les extraterrestres mais d' autre part en supprimant tous les survivants témoins de l' affaire ou en les capturant pour interrogatoire .	hostile	environnement	18	17	after
la nudité de le modèle permet une étude de le squelette et de les proportions , la perspective et l' expérimentation de différentes notions artistiques ( volume , ombres , masse , ligne , tâche , geste ) .	artistiques	notions	25	24	after
cette organisation proto-résistante , diffusa la presse clandestine et organisa plus tard , un certain nombre de sabotages .	proto-résistante	organisation	3	2	after
cette organisation proto-résistante , diffusa la presse clandestine et organisa plus tard , un certain nombre de sabotages .	clandestine	presse	8	7	after
elles est formée d' un empilement , de couches sédimentaires de l' ère tertiaire , alternant calcaires , marnes , sables et argiles .	sédimentaires	couches	10	9	after
elles est formée d' un empilement , de couches sédimentaires de l' ère tertiaire , alternant calcaires , marnes , sables et argiles .	tertiaire	ère	14	13	after
aujourd'hui de le château il ne reste plus qu' un mur terreux depuis lequel on aperçoit un beau panorama .	terreux	mur	12	11	after
1949 , châtelard , propriétaire d' une grande brasserie et d' un cinéma à cherbourg , accompagne sa concubine , odile , à l' enterrement de son père , dans un petit port normand .	normand	port	34	33	after
tant qu' il reste encore des entrées dans le tableau d' origine , on répète l' opération de suppression d' une valeur x dans le coin supérieur gauche , de glissement de taquins , et d' insertion de la valeur -x dans la cellule libérée .	supérieur	coin	27	26	after
tant qu' il reste encore des entrées dans le tableau d' origine , on répète l' opération de suppression d' une valeur x dans le coin supérieur gauche , de glissement de taquins , et d' insertion de la valeur -x dans la cellule libérée .	gauche	coin	28	26	after
le bord postérieur de le telson porte entre 4 et 8 épines .	postérieur	bord	3	2	after
la définition varie selon la géographie , la politique , le temps , les cas historiques et la culture .	historiques	cas	16	15	after
le diplôme sanctionnant cette formation est le diplôme d' ingénieur de l' école nationale supérieure de chimie de mulhouse .	nationale	école	14	13	after
le diplôme sanctionnant cette formation est le diplôme d' ingénieur de l' école nationale supérieure de chimie de mulhouse .	supérieure	école	15	13	after
la désapprobation et les revendications de les rodriguais sont moins visibles par la suite , de le fait notamment de le départ d' un certain nombre de rodriguais vers sainte-suzanne en 1935 et de la seconde guerre mondiale .	mondiale	guerre	38	37	after
le camp devint un centre important d' approvisionnement et de transport pour les communautés voisines , et la population avait atteint environ 1 500 habitants dès 1850 .	important	centre	6	5	after
le camp devint un centre important d' approvisionnement et de transport pour les communautés voisines , et la population avait atteint environ 1 500 habitants dès 1850 .	voisines	communautés	15	14	after
peut-être est -elle moins précoce , encore que sa mort prématurée , la privant de les distractions créatrices de sa famille , grève l' appréciation .	prématurée	mort	11	10	after
peut-être est -elle moins précoce , encore que sa mort prématurée , la privant de les distractions créatrices de sa famille , grève l' appréciation .	créatrices	distractions	18	17	after
il intègre le sports études de baraqueville et remporte avec ses coéquipiers de la ligue de le midi-pyrénées , dont fabien barthez , la coupe nationale cadets en 1986 .	nationale	coupe	26	25	after
il suffit de se balader dans les rues de smara pour se rendre compte de le climat de tension accentué par un encadrement policier très pesant .	policier	encadrement	24	23	after
il suffit de se balader dans les rues de smara pour se rendre compte de le climat de tension accentué par un encadrement policier très pesant .	pesant	encadrement	26	23	after
les pouvoirs publics ont commencé à édicter un régime juridique complet tant pour les entités étatiques ( ministères , établissements publics nationaux ) que celles relevant de les collectivités locales .	publics	pouvoirs	3	2	after
les pouvoirs publics ont commencé à édicter un régime juridique complet tant pour les entités étatiques ( ministères , établissements publics nationaux ) que celles relevant de les collectivités locales .	juridique	régime	10	9	after
les pouvoirs publics ont commencé à édicter un régime juridique complet tant pour les entités étatiques ( ministères , établissements publics nationaux ) que celles relevant de les collectivités locales .	complet	régime	11	9	after
les pouvoirs publics ont commencé à édicter un régime juridique complet tant pour les entités étatiques ( ministères , établissements publics nationaux ) que celles relevant de les collectivités locales .	étatiques	entités	16	15	after
les pouvoirs publics ont commencé à édicter un régime juridique complet tant pour les entités étatiques ( ministères , établissements publics nationaux ) que celles relevant de les collectivités locales .	publics	établissements	21	20	after
les pouvoirs publics ont commencé à édicter un régime juridique complet tant pour les entités étatiques ( ministères , établissements publics nationaux ) que celles relevant de les collectivités locales .	nationaux	établissements	22	20	after
les pouvoirs publics ont commencé à édicter un régime juridique complet tant pour les entités étatiques ( ministères , établissements publics nationaux ) que celles relevant de les collectivités locales .	locales	collectivités	30	29	after
après le raccordement de la folie , en direction de paris , les rames empruntant des infrastructures nouvelles , cet échange de les circulations permettra de libérer de la capacité en gare de paris saint-lazare .	nouvelles	infrastructures	18	17	after
il est aussi à la même époque directeur-rédacteur en chef de le journal socialiste flamand volksgazet .	socialiste	journal	14	13	after
il est aussi à la même époque directeur-rédacteur en chef de le journal socialiste flamand volksgazet .	flamand	journal	15	13	after
quand ils reviennent dans leur communauté , ils tentent d' enseigner leur savoir à les jeunes nains curieux .	curieux	nains	18	17	after
le mot « mutazilisme » ( en arabe : al - mu ʿ tazila , ) a deux sens / origines possibles .	possibles	sens	22	19	after
la langue écrite utilise depuis 1940 l' alphabet cyrillique .	écrite	langue	3	2	after
la langue écrite utilise depuis 1940 l' alphabet cyrillique .	cyrillique	alphabet	9	8	after
l' église saint-léger de fertans est une église située à fertans dans le département français de le doubs .	français	département	15	14	after
de plus le codage de huffman impose d' utiliser un nombre entier de bit pour un symbole source , ce qui peut s' avérer peu efficace .	entier	nombre	12	11	after
lorsque le projectile touche une cible , il garde sur une certaine distance une ligne droite appelée tunnel d' attrition ( neck ou narrow channel ) , puis , en fonction de sa forme , de son poids , de sa vitesse , ainsi que de la structure de le milieu , le projectile a tendance à se mettre en travers et à être brutalement freiné dans le milieu traversé .	droite	ligne	16	15	after
en-dessous de cette température , le matériau est à l' état " supraconducteur " , au-dessus , il transite à l' état " normal " et devient brutalement résistif ce qui génère un échauffement par effet joule s' il est parcouru par un courant .	normal	état	24	22	after
coquin de printemps est l' un de les nombreux projets réalisés de manière rapide et à moindre coût en attendant que le studio retrouve son rythme .	rapide	manière	14	13	after
ainsi , si la commune tire son épingle de le jeu jusque sous l' empire , elle n' en paie pas moins un lourd tribut sous forme de réquisitions d' hommes , de biens et de services divers .	divers	services	38	37	after
la construction personnelle s' effectue par l' intégration de nouvelles informations en fonction de l' expérience de l' individu afin qu' il puisse anticiper les évènements prochains .	personnelle	construction	3	2	after
la construction personnelle s' effectue par l' intégration de nouvelles informations en fonction de l' expérience de l' individu afin qu' il puisse anticiper les évènements prochains .	prochains	évènements	27	26	after
frédéric saivet , né le 13 août 1828 à lectoure ( gers ) et mort le 30 juin 1877 à espira-de-l'agly ( pyrénées-orientales ) , est un ecclésiastique français , évêque de mende de 1872 à 1876 , puis évêque de perpignan de 1876 à sa mort en 1877 .	français	ecclésiastique	29	28	after
le principal argument de vente de le produit actimel est la présence de la bactérie lactobacillus casei dn-114001 ( appelée commercialement l. casei defensis ) dans ses ingrédients , censée « renforcer les défenses naturelles de le corps » , chaque dose de 100 ml contenant près de 10 milliards de ces bactéries probiotiques , en plus de les bactéries naturellement présentes dans les yaourts ( l. delbrueckii subsp. bulgaricus et streptococcus thermophilus ) .	censée	présence	30	12	after
le principal argument de vente de le produit actimel est la présence de la bactérie lactobacillus casei dn-114001 ( appelée commercialement l. casei defensis ) dans ses ingrédients , censée « renforcer les défenses naturelles de le corps » , chaque dose de 100 ml contenant près de 10 milliards de ces bactéries probiotiques , en plus de les bactéries naturellement présentes dans les yaourts ( l. delbrueckii subsp. bulgaricus et streptococcus thermophilus ) .	naturelles	défenses	35	34	after
le principal argument de vente de le produit actimel est la présence de la bactérie lactobacillus casei dn-114001 ( appelée commercialement l. casei defensis ) dans ses ingrédients , censée « renforcer les défenses naturelles de le corps » , chaque dose de 100 ml contenant près de 10 milliards de ces bactéries probiotiques , en plus de les bactéries naturellement présentes dans les yaourts ( l. delbrueckii subsp. bulgaricus et streptococcus thermophilus ) .	probiotiques	bactéries	54	53	after
le principal argument de vente de le produit actimel est la présence de la bactérie lactobacillus casei dn-114001 ( appelée commercialement l. casei defensis ) dans ses ingrédients , censée « renforcer les défenses naturelles de le corps » , chaque dose de 100 ml contenant près de 10 milliards de ces bactéries probiotiques , en plus de les bactéries naturellement présentes dans les yaourts ( l. delbrueckii subsp. bulgaricus et streptococcus thermophilus ) .	présentes	bactéries	62	60	after
adapté de la nouvelle de guy de maupassant , ce film , accompagné par la musique de bruno coulais , est notamment sélectionné à le festival international de le court-métrage de clermont-ferrand .	international	festival	27	26	after
à sa sortie , le film est un échec commercial mais est acclamé par la critique .	commercial	échec	10	9	after
l' exploration de l' espace , parfois appelée conquête de l' espace consiste en l' exploration physique de l' espace , c'est-à-dire de tous les objets extérieurs à la terre .	physique	exploration	17	16	after
l' exploration de l' espace , parfois appelée conquête de l' espace consiste en l' exploration physique de l' espace , c'est-à-dire de tous les objets extérieurs à la terre .	extérieurs	objets	27	26	after
« le tissu socio-économique est dans un tel état que n' importe quelle source de revenus est la bienvenue .	socio-économique	tissu	4	3	after
il propose 5 vaisseaux différents , qui possèdent leurs propres tirs et smart bombs .	différents	vaisseaux	5	4	after
cette technique fut reçue avec méfiance de par le monde , certains réalisateurs craignant que les dialogues ne détournent l' attention de les spectateurs alors portée sur l' esthétisme de l' image ou que le cinéma ne dérive vers un simple « théâtre filmé » à le lieu de continuer à développer une esthétique originale .	filmé	théâtre	44	43	after
cette technique fut reçue avec méfiance de par le monde , certains réalisateurs craignant que les dialogues ne détournent l' attention de les spectateurs alors portée sur l' esthétisme de l' image ou que le cinéma ne dérive vers un simple « théâtre filmé » à le lieu de continuer à développer une esthétique originale .	originale	esthétique	55	54	after
en 1971 , elle avait été lauréate de le concours musical international reine élisabeth de belgique , classée cinquième lors de l' épreuve finale .	musical	concours	11	10	after
en 1971 , elle avait été lauréate de le concours musical international reine élisabeth de belgique , classée cinquième lors de l' épreuve finale .	international	concours	12	10	after
en 1971 , elle avait été lauréate de le concours musical international reine élisabeth de belgique , classée cinquième lors de l' épreuve finale .	finale	épreuve	24	23	after
il y gagne d' ailleurs le prix de le meilleur film international .	international	film	12	11	after
cette décision pontificale s' explique par la cristallisation de les tensions nouvelles qui opposent aicard à le comte ainsi qu' à le pape .	pontificale	décision	3	2	after
cette décision pontificale s' explique par la cristallisation de les tensions nouvelles qui opposent aicard à le comte ainsi qu' à le pape .	nouvelles	tensions	12	11	after
le pilier d' héliodoros semblent indiquer une certaine réconciliation , par l' intégration de le bouddha dans le panthéon vishnouite , entre le bouddhisme , la foi de les indo-grecs et l' hindouisme suivi par les sunga , qui avaient persécuté les bouddhistes de le temps de pusyamitra sunga .	vishnouite	panthéon	20	19	after
précisons que le cours de référence est une moyenne arithmétique de les cours d' ouverture de l' action axa qui sera fixé ultérieurement .	arithmétique	moyenne	10	9	after
la commission a été organisée autour de besoins clairs avec les sections de les légalisations , de l' habitat , de les finances , de l' enfance , médicale , vestimentaire , de la propagande et de le combat contre la délation .	clairs	besoins	9	8	after
l' ensemble de ces couples est non vide et est ordonné ( de façon naturelle ) inductif .	naturelle	façon	15	14	after
le label a sorti plusieurs albums de groupe influent , sinon des groupe " genre-defining " , incluent 7 seconds et snfu dans les années 1980 et leatherface , the unseen , throw rag , pistol grip , souls , youth brigade / swinging utters et alkaline trio / one man army et d' autres groupe de nos jours .	influent	groupe	9	8	after
le morceau titre contient une narration tragi-comique improvisée à partir d' un thème par jean shepherd .	tragi-comique	narration	7	6	after
stottlemeyer a également trouvé sharona fleming et l' a engagée comme infirmière pour aider monk à récupérer d' un état catatonique provoqué par la perte de trudy .	catatonique	état	21	20	after
l' alliance française de tamatave offre un programme régulier de cours de langue française et malgache destinés à les enfants , à les adultes , à les professionnels , quel que soit leur niveau de langue .	française	alliance	3	2	after
l' alliance française de tamatave offre un programme régulier de cours de langue française et malgache destinés à les enfants , à les adultes , à les professionnels , quel que soit leur niveau de langue .	régulier	programme	9	8	after
l' alliance française de tamatave offre un programme régulier de cours de langue française et malgache destinés à les enfants , à les adultes , à les professionnels , quel que soit leur niveau de langue .	française	langue	14	13	after
matthew mckay ( né le 11 janvier 1938 à brisbane , en australie ) est un footballeur international australien .	international	footballeur	18	17	after
